Phoenix Wright: Ace Attorney,ฟีนิกซ์ ไรท์: ทนายฟ้าประทาน
Clear Speaker,-
???,-
Phoenix Wright ,ฟีนิกซ์ ไรท์ - นิค
Maya Fey,มายา เฟย์
Mia Fey ,มีอา เฟย์
Larry Butz,แลร์รี่ บัทซ์
Dick Gumshoe ,ดิกค์ กัมชู - ผู้หมวดกัมชู
Miles Edgeworth ,ไมล์ เอ็จเวิร์ธ
Judge,ผู้พิพากษา
,
[EP.1] The First Turnabout,พลิกคดีปฐมบท
The Thinker,นักครุ่นคิด
Winston Payne ,วินสตัน เพย์น
Cindy Stone,ซินดี้ สโตน
Frank Sahwit ,แฟรงก์ ซาวิท
,
[EP.2] Turnabout Sisters,พลิกคดีสองพี่น้อง
April May,เอพริล เมย์
Marvin Grossberg,มาร์วิน โกรสเบิร์ก
Redd White,เรดด์ ไวท์
Misty Fey ,มิสตี้ เฟย์
Bellboy,บ๋อยโรงแรม
,
[EP.3] Turnabout Samurai,พลิกคดีซามูไร
Will Powers,วิล พาวเวอร์
Jack Hammer,แจ็ค แฮมเมอร์
Wendy Oldbag,เวนดี้ โอลด์แบ็ค
Cody Hackins,โคดี้ แฮคกิ้น
Penny Nichols,เพนนี นิโคลส์
Sal Manella,ซัล มาเนลลา
Dee Vasquez,ดีย์ วาสเก๊ะ
Manuel,มานูเอล
Charley,ชาร์ลี่
,
[EP.4] Turnabout Goodbyes,พลิกคดีการจากลา
Robert Hammond,โรเบิร์ต แฮมมอนด์
Manfred von Karma,มัลเฟรด ฟอน คาร์มา
Lotta Hart,ลอตต้า ฮาร์ท
The Boat Shop Caretaker - Yanni Yogi,คนดูแลร้านเช่าเรือ - ยานนี่ โยกิ
Gregory Edgeworth,เกรกอรี่ เอ็จเวิร์ธ
Polly,พอลลี่
Polly Jenkins,พอลลี่ เจคกิ้น
Missile,มิสไซล์
,
[EP.5] Rise from the Ashes,ปลุกขึ้นจากเถ้าถ่าน
Lana Skye,ลาน่า สกาย
Bruce Goodman,บรูซ กู้ดแมน
Angel Starr,แองเจิล สตาร์
Ema Skye,เอม่า สกาย
Damon Gant,เดมอน แก๊นท์
Jake Marshall,เจค มาร์แชล
Mike Meekins,ไมค์ มีกิ้นส์
Neil Marshall,นีล มาร์แชล
Joe Darke,โจ ดาร์ค
,
,
,
Phoenix Wright: Ace Attorney - Justice for All,ทนายฟ้าประทาน 2 : ยุติธรรมเพื่อปวงชน
Phoenix Wright,ฟีนิกซ์ ไรท์ - นิค
Maya Fey,มายา เฟย์
Pearl Fey,"เพิร์ล เฟย์ - เพิร์ลลี่, "
Mia Fey,มีอา เฟย์
Franziska von Karma,ฟรานซิสกา ฟอน คาร์มา
Dick Gumshoe,ดิกค์ กัมชู - ผู้หมวดกัมชู
Judge,ผู้พิพากษา
Miles Edgeworth,ไมล์ เอ็จเวิร์ธ
,
[EP.1] The Lost Turnabout,พลิกคดีที่ถูกลืม
Winston Payne,วินสตัน เพย์น
Maggey Byrde,แมคกี้ ไบร์ด
Dustin Prince,ดัสติน พรินซ์
Richard Wellington,ริชาร์ด เวลลิงตัน
,
"[EP.2] Reunion, and Turnabout",กลับมาพบกันและพลิกคดี
Lotta Hart,ลอตต้า ฮาร์ท
Director Hotti (รึเปล่า?),หมอฮอตตี้
Morgan Fey,มอร์แกน เฟย์
Turner Grey,เทอร์เนอร์ เกรย์
Ini Miney,อินิ มินนี่
Mimi Miney,มีมี่ มินนี่
Ami Fey,อามิ เฟย์
,
[EP.3] Turnabout Big Top,พลิกคดีละครสัตว์
Acro,อัคโคร
Bat,แบท
Regina Berry,เรจิน่า แบรี่
Russell Berry,รัสเซล แบรี่
Max Galactica,แม็ก กาแลกติก้า
Moe,โม
Money,มันนี่
Regent,รีเจ้นท์
Benjamin Woodman,เบนจามิน วูดแมน
Léon,ลีออน
,
"[EP.4] Farewell, My Turnabout",ลาก่อน การพลิกคดี
Wendy Oldbag,เวนดี้ โอลด์แบ็ค
Will Powers,วิล พาวเวอร์ - วิพา
Adrian Andrews,อาเดรียน แอนดรูวส์
Shelly de Killer,เชลลี่ เดอ คิลเลอร์
Juan Corrida,ฮวน คอร์ริด้า
Matt Engarde,แม็ท เอนเกรด
Celeste Inpax,เซเลสท์ อินแพค
