[Phoenix Wright],,[Phoenix Wright]
"#""It's been two months since""",,"#""ผ่านมาสองเดือนแล้ว"""
[NewLine();],,[NewLine();]
"#""Maya left the office...""",,"#""ที่<มายา>กลับบ้านไป..."""
[ReadKey();],,[ReadKey();]
"#""Two months without""",,"#""สองเดือนที่ไม่มี"""
[NewLine();],,[NewLine();]
"#""a single trial.""",,"#""คดีเลยแม้แต่คดีเดียว"""
[ReadKey();],,[ReadKey();]
"#""I've had offers...""",,"#""เรื่องจริงก็พอมีบ้าง..."""
[Wait(20);],,[Wait(20);]
[NewLine();],,[NewLine();]
"#""But none I took.""",,"#""แต่ฉันแค่ไม่รับก็เท่านั้น"""
[ReadKey();],,[ReadKey();]
"#""That is...""",,"#""จนกระทั่งวันนั้น..."""
[Wait(20);],,[Wait(20);]
[NewLine();],,[NewLine();]
"#""until the day that""",,"#""วันที่เด็กผู้หญิงคนนั้น"""
[NewLine();],,[NewLine();]
"#""girl showed up.""",,"#""โผล่มา"""
[ReadKey();],,[ReadKey();]
,,
[Clear Speaker],,[Clear Speaker]
[SetTextColor(Green);],,[SetTextColor(Green);]
"#""February 22, 10:02 AM""",,"#""22 กุมภาพันธ์ 10:02 น."""
[NewLine();],,[NewLine();]
"#""Wright ＆ Co. Law Offices""",,"#""สำนักงานทนายความ<ไรท์>และเพื่อน"""
[ReadKey();],,[ReadKey();]
,,
[Phoenix Wright],,[Phoenix Wright]
,,
[Phoenix Wright],,[Phoenix Wright]
[SetTextColor(Blue);],,[SetTextColor(Blue);]
"#""(Why do I come here to""",,"#""(ทำไมฉันต้องมาที่ออฟฟิศ"""
[NewLine();],,[NewLine();]
"#""the office every day?)""",,"#""ทุกวันด้วยนะ?)"""
[ReadKey();],,[ReadKey();]
"#""(It's not like I want to""",,"#""(ก็ไม่ใช่ว่าอยากจะทำงาน"""
[NewLine();],,[NewLine();]
"#""work...)""",,"#""สักหน่อย...)"""
[SetTextColor(White);],,[SetTextColor(White);]
[ReadKey();],,[ReadKey();]
,,
[Unknown Speaker],,[Unknown Speaker]
"#""There you are!""",,"#""นี่ไง! อยู่นี่เอง!"""
[Wait(20);],,[Wait(20);]
"#"" Finally!""",,"#"" ในที่สุด!"""
[ReadKey();],,[ReadKey();]
,,
[Unknown Speaker],,[Unknown Speaker]
"#""Where have you been!?""",,"#""คุณไปอยู่ไหนมา!?"""
[ReadKey();],,[ReadKey();]
"#""My sister's trial is tomorrow!""",,"#""คดีของพี่หนูเริ่มพรุ่งนี้นะ!"""
[Op_2D();],,[Op_2D();]
,,
[Phoenix Wright],,[Phoenix Wright]
"#""...""",,"#""..."""
[Op_2D();],,[Op_2D();]
"#""...""",,"#""..."""
[Op_2D();],,[Op_2D();]
"#""Um...""",,"#""เอิ่ม..."""
[Wait(20);],,[Wait(20);]
"#"" who are you?""",,"#"" เธอเป็นใครนะ?"""
[ReadKey();],,[ReadKey();]
,,
[Unknown Speaker],,[Unknown Speaker]
"#""It doesn't matter who I am!""",,"#""ไม่ต้องสนหรอกว่าหนูเป็นใคร!"""
[Wait(20);],,[Wait(20);]
[NewLine();],,[NewLine();]
"#""It only matters who YOU are!""",,"#""ที่สำคัญคือ ""คุณ"" เป็นใครต่างหาก!"""
[ReadKey();],,[ReadKey();]
"#""The famous defense""",,"#""ทนายความผู้โด่งดัง"""
[NewLine();],,[NewLine();]
"#""attorney, Mia Fey!""",,"#""<มีอา เฟย์>!"""
[Op_2D();],,[Op_2D();]
,,
[Phoenix Wright],,[Phoenix Wright]
"#""...""",,"#""..."""
[Op_2D();],,[Op_2D();]
,,
[Unknown Speaker],,[Unknown Speaker]
"#""...""",,"#""..."""
[Op_2D();],,[Op_2D();]
,,
[Phoenix Wright],,[Phoenix Wright]
"#""...""",,"#""..."""
[ReadKey();],,[ReadKey();]
,,
